Acesso em 2025-01-09T19:25:08.592Z | IP: ::1
Acesso em 2025-01-11T17:37:31.797Z | IP: ::1
Acesso em 2025-01-11T17:51:30.626Z | IP: ::1
Acesso em 2025-01-11T17:51:46.133Z | IP: ::1
Acesso em 2025-01-11T17:52:07.114Z | IP: ::1
Acesso em 2025-01-11T17:52:35.792Z | IP: ::1
Acesso em 2025-01-11T21:18:14.160Z | IP: ::1
Acesso em 2025-01-11T21:21:17.360Z | IP: ::1
Acesso em 2025-01-11T21:27:29.006Z | IP: ::1
Acesso em 2025-01-11T21:28:33.188Z | IP: ::1
Acesso em 2025-01-11T21:31:01.482Z | IP: ::1
Acesso em 2025-01-11T21:31:39.117Z | IP: ::1
Acesso em 2025-01-11T21:32:46.204Z | IP: ::1
Acesso em 2025-01-11T21:33:17.893Z | IP: ::1
Acesso em 2025-01-11T21:34:03.566Z | IP: ::1
Acesso em 2025-01-11T21:34:11.858Z | IP: ::1
Acesso em 2025-01-11T21:34:18.741Z | IP: ::1
Acesso em 2025-01-11T21:34:25.330Z | IP: ::1
Acesso em 2025-01-11T21:34:34.903Z | IP: ::1
Acesso em 2025-01-11T21:35:10.212Z | IP: ::1
Acesso em 2025-01-11T21:35:55.128Z | IP: ::1
Acesso em 2025-01-11T21:36:23.911Z | IP: ::1
Acesso em 2025-01-11T21:38:29.169Z | IP: ::1
Acesso em 2025-01-11T21:39:32.584Z | IP: ::1
Acesso em 2025-01-11T21:39:34.587Z | IP: ::1
Acesso em 2025-01-11T21:41:12.203Z | IP: ::1
Acesso em 2025-01-11T21:41:26.850Z | IP: ::1
Acesso em 2025-01-11T21:43:30.414Z | IP: ::1
Acesso em 2025-01-11T21:44:39.640Z | IP: ::1
Acesso em 2025-01-11T21:45:04.658Z | IP: ::1
Acesso em 2025-01-11T21:45:23.143Z | IP: ::1
Acesso em 2025-01-11T21:46:24.896Z | IP: ::1
Acesso em 2025-01-11T21:46:51.306Z | IP: ::1
Acesso em 2025-01-11T21:47:35.723Z | IP: ::1
Acesso em 2025-01-11T21:49:40.384Z | IP: ::1
Acesso em 2025-01-11T21:50:16.912Z | IP: ::1
Acesso em 2025-01-11T21:52:30.933Z | IP: ::1
Acesso em 2025-01-11T21:54:18.597Z | IP: ::1
Acesso em 2025-01-11T21:55:28.729Z | IP: ::1
Acesso em 2025-01-11T21:56:46.679Z | IP: ::1
Acesso em 2025-01-11T21:57:18.600Z | IP: ::1
Acesso em 2025-01-11T21:57:28.891Z | IP: ::1
Acesso em 2025-01-11T21:57:36.853Z | IP: ::1
Acesso em 2025-01-11T22:00:43.673Z | IP: ::1
Acesso em 2025-01-11T22:00:50.144Z | IP: ::1
Acesso em 2025-01-11T22:02:16.958Z | IP: ::1
Acesso em 2025-01-11T22:02:56.893Z | IP: ::1
Acesso em 2025-01-11T22:03:14.724Z | IP: ::1
Acesso em 2025-01-11T22:03:30.757Z | IP: ::1
Acesso em 2025-01-11T22:09:42.370Z | IP: ::1
Acesso em 2025-01-11T22:10:08.350Z | IP: ::1
Acesso em 2025-01-11T22:10:44.029Z | IP: ::1
Acesso em 2025-01-11T22:11:08.118Z | IP: ::1
Acesso em 2025-01-11T22:12:57.830Z | IP: ::1
Acesso em 2025-01-11T22:13:11.777Z | IP: ::1
Acesso em 2025-01-11T22:13:22.887Z | IP: ::1
Acesso em 2025-01-11T22:13:52.010Z | IP: ::1
Acesso em 2025-01-11T22:14:16.859Z | IP: ::1
Acesso em 2025-01-11T22:14:46.754Z | IP: ::1
Acesso em 2025-01-11T22:15:04.576Z | IP: ::1
Acesso em 2025-01-11T22:15:46.827Z | IP: ::1
Acesso em 2025-01-11T22:15:50.971Z | IP: ::1
Acesso em 2025-01-11T22:16:43.356Z | IP: ::1
Acesso em 2025-01-11T22:17:56.742Z | IP: ::1
Acesso em 2025-01-11T22:18:36.992Z | IP: ::1
Acesso em 2025-01-11T22:20:12.909Z | IP: ::1
Acesso em 2025-01-11T22:21:27.058Z | IP: ::1
Acesso em 2025-01-11T22:21:30.315Z | IP: ::1
Acesso em 2025-01-11T22:22:08.858Z | IP: ::1
Acesso em 2025-01-13T19:59:43.138Z | IP: ::1
Acesso em 2025-01-13T20:02:26.224Z | IP: ::1
Acesso em 2025-01-13T20:03:47.500Z | IP: ::1
Acesso em 2025-01-13T20:06:04.067Z | IP: ::1
Acesso em 2025-01-13T20:07:40.336Z | IP: ::1
Acesso em 2025-01-13T20:10:26.963Z | IP: ::1
Acesso em 2025-01-13T20:11:20.187Z | IP: ::1
Acesso em 2025-01-13T20:13:25.551Z | IP: ::1
Acesso em 2025-01-13T20:14:02.647Z | IP: ::1
Acesso em 2025-01-13T20:14:12.179Z | IP: ::1
Acesso em 2025-01-13T20:14:19.994Z | IP: ::1
Acesso em 2025-01-13T20:15:20.161Z | IP: ::1
Acesso em 2025-01-13T20:15:30.537Z | IP: ::1
Acesso em 2025-01-13T20:15:49.293Z | IP: ::1
Acesso em 2025-01-13T20:15:57.865Z | IP: ::1
Acesso em 2025-01-13T20:16:13.363Z | IP: ::1
Acesso em 2025-01-13T20:16:44.866Z | IP: ::1
Acesso em 2025-01-13T20:17:03.126Z | IP: ::1
Acesso em 2025-01-13T20:17:13.847Z | IP: ::1
Acesso em 2025-01-13T20:17:22.730Z | IP: ::1
Acesso em 2025-01-13T20:17:56.377Z | IP: ::1
Acesso em 2025-01-13T20:18:12.680Z | IP: ::1
Acesso em 2025-01-13T20:18:27.825Z | IP: ::1
Acesso em 2025-01-13T20:20:48.760Z | IP: ::1
Acesso em 2025-01-13T20:20:55.857Z | IP: ::1
Acesso em 2025-01-13T20:21:40.490Z | IP: ::1
Acesso em 2025-01-13T20:22:11.695Z | IP: ::1
Acesso em 2025-01-13T20:22:32.364Z | IP: ::1
